schema_version,graph_type,size,param,trials,seed,enforce_connected,max_retries,ba_initial_clique,road_cross_edge_rate,road_branch_min,road_branch_max,dijkstra_ms,dijkstra_fib_ms,bmssp_ms,bmssp_vs_binary_speedup,bmssp_vs_fib_speedup,fib_vs_binary_speedup,match_binary_fib,match_binary_bmssp,match_fib_bmssp,reachable,avg_distance,max_distance,graph_avg_degree,graph_degree_stddev,graph_degree_gini,graph_max_degree,graph_component_count,graph_giant_component_fraction,graph_source_reachable_fraction,graph_avg_distance_hops_unweighted,graph_approx_diameter_hops,graph_avg_clustering_coefficient,graph_edge_weight_mean,graph_edge_weight_stddev,bmssp_id_prep_ms,bmssp_cd_prep_ms,bmssp_cd_internal_vertices,bmssp_cd_internal_edges,bmssp_cd_vertex_blowup,bmssp_cd_edge_blowup,bmssp_cd_vs_identity_ratio,binpq_push_count,binpq_pop_count,binpq_stale_pop_count,binpq_relax_attempt_count,binpq_relax_success_count,fib_insert_count,fib_extract_count,fib_decrease_key_count,fib_relax_attempt_count,fib_relax_success_count,bmssp_calls_total,bmssp_max_level,bmssp_find_pivots_calls,bmssp_mean_pivot_ratio,bmssp_mean_frontier_expansion,bmssp_pull_count,bmssp_pull_mean_batch,bmssp_queue_insert_count,bmssp_queue_erase_count,bmssp_queue_batchprepend_count,warmup_runs,order_randomized,dijkstra_median_ms,dijkstra_std_ms,dijkstra_p95_ms,dijkstra_fib_median_ms,dijkstra_fib_std_ms,dijkstra_fib_p95_ms,bmssp_median_ms,bmssp_std_ms,bmssp_p95_ms,bmssp_total_with_cd_ms,bmssp_total_with_cd_median_ms,bmssp_total_with_cd_std_ms,bmssp_total_with_cd_p95_ms,match_count_binary_fib,match_count_binary_bmssp,match_count_fib_bmssp
2,erdos_renyi,250000,4,5,42,1,20,0,0.1,1,3,76.7014,235.162,446.61,0.171767,0.526637,0.326165,YES,YES,YES,245053,331.551,653.114,4,1.99703,0.277238,16.2,4752.8,0.980214,0.980214,9.01138,18.6,1.87512e-05,50.4956,28.5822,39.1884,477.126,1e+06,2e+06,4,2,12.1752,322413,322413,77359.2,999610,322412,245053,245053,77359.2,999610,322412,2679.8,3,330,0.153508,1.17879,2678.8,93.3702,323126,263726,2678.8,1,1,76.666,1.35947,78.072,235.448,1.78689,237.316,450.111,6.22928,452.563,923.736,921.763,14.1605,947.62,5,5,5
2,erdos_renyi,250000,8,5,42,1,20,0,0.1,1,3,102.305,273.59,624.374,0.163851,0.43819,0.373932,YES,YES,YES,249917,170.887,342.53,8,2.82957,0.197997,23.8,84,0.999667,0.999667,6.28165,10.4,3.0194e-05,50.513,28.5787,42.1598,1048.89,2e+06,4e+06,8,2,24.879,444190,444190,194273,2e+06,444189,249917,249917,194273,2e+06,444189,1074.4,3,263.8,0.102072,1.16663,1073.4,235.665,436984,262737,1073.4,1,1,102.749,0.961232,103.173,273.353,1.28385,275.14,625.769,4.21276,628.427,1673.27,1674.2,8.13411,1685.21,5,5,5
2,erdos_renyi,500000,4,5,42,1,20,0,0.1,1,3,159.041,583.577,1160.46,0.137119,0.502648,0.273629,YES,YES,YES,490056,345.101,691.02,4,2.00088,0.277686,17.6,9532,0.980112,0.980112,9.34244,19,6.43877e-06,50.5196,28.581,88.0068,1041.56,2e+06,4e+06,4,2,11.835,644567,644567,154511,1.99917e+06,644566,490056,490056,154511,1.99917e+06,644566,1254,3,565,0.0102504,1.02859,1253,404.845,646165,558111,1253,1,1,159.294,1.74133,161.537,568.016,46.3027,665.874,1149.14,34.1527,1198.8,2202.02,2188.64,45.6018,2251.49,5,5,5
2,erdos_renyi,500000,8,5,42,1,20,0,0.1,1,3,219.594,665.464,1585.2,0.138527,0.419822,0.329944,YES,YES,YES,499838,175.073,338.479,8,2.82753,0.197845,25,162.4,0.999677,0.999677,6.60185,10.4,1.53133e-05,50.4997,28.5855,88.9644,2343.53,4e+06,8e+06,8,2,26.3424,888165,888165,388327,4e+06,888164,499838,499838,388327,4e+06,888164,3493.8,3,439,0.0392913,1.07383,3492.8,146.844,867928,555343,3492.8,1,1,217.28,10.5804,237.318,663.073,3.93316,670.078,1580.88,17.9248,1611.63,3928.73,3917.3,40.3543,3996.92,5,5,5
2,erdos_renyi,1000000,4,5,42,1,20,0,0.1,1,3,346.436,1365.34,2575.64,0.134518,0.53014,0.253976,YES,YES,YES,980112,354.568,691.352,4,2.00004,0.277592,17.6,19097,0.980112,0.980112,9.86781,20.4,3.0134e-06,50.492,28.5771,179.428,2309.6,4e+06,8e+06,4,2,12.872,1.28959e+06,1.28959e+06,309475,3.99842e+06,1.28959e+06,980112,980112,309475,3.99842e+06,1.28959e+06,6628,3,571.4,0.0757091,1.10483,6627,150.931,1.29119e+06,1.05133e+06,6627,1,1,347.016,5.9229,351.789,1347.48,55.5665,1462.35,2567.35,19.0307,2602.78,4885.24,4901.69,33.8897,4915.35,5,5,5
2,erdos_renyi,1000000,8,5,42,1,20,0,0.1,1,3,487.785,1589.31,3471.47,0.140536,0.457828,0.306958,YES,YES,YES,999641,211.102,398.138,8,2.82844,0.197891,25.6,359.4,0.999641,0.999641,6.85248,11.4,8.56056e-06,50.494,28.5758,197.607,5075.92,8e+06,1.6e+07,8,2,25.6869,1.77655e+06,1.77655e+06,776911,8e+06,1.77655e+06,999641,999641,776911,8e+06,1.77655e+06,2739.6,3,447.4,0.0635258,1.11353,2738.6,369.591,1.7476e+06,1.04984e+06,2738.6,1,1,485.671,10.6989,505.679,1587.96,13.577,1608.83,3469.33,26.062,3503.08,8547.39,8557.15,43.6956,8607.75,5,5,5
2,barabasi_albert,100000,2,5,42,1,20,0,0.1,1,3,21.05,64.6204,116.63,0.180548,0.554069,0.325936,YES,YES,YES,100000,188.515,346.859,3.99994,7.57897,0.39143,889,1,1,1,5.93882,9.6,0.000816582,50.4741,28.5865,5.4434,90.9498,399995,799988,3.99995,2,16.7083,132237,132237,32237.4,399994,132236,100000,100000,32237.4,399994,132236,1736.4,3,220.6,0.0781005,1.10195,1735.4,59.5315,132464,114357,1735.4,1,1,21.07,0.156253,21.247,63.665,1.80385,67.465,116.817,2.32895,119.616,207.579,208.216,2.72944,210.999,5,5,5
2,barabasi_albert,100000,4,5,42,1,20,0,0.1,1,3,31.067,71.7564,181.13,0.171529,0.396214,0.432997,YES,YES,YES,100000,105.297,197.892,7.9998,12.9559,0.367605,1192.2,1,1,1,4.45575,6.6,0.00100585,50.5145,28.5795,8.1792,250.873,799981,1.59996e+06,7.99981,2,30.6721,182634,182634,82633.8,799980,182633,100000,100000,82633.8,799980,182633,1627.8,3,200.6,0.10449,1.24928,1626.8,62.9014,179427,112684,1626.8,1,1,30.89,0.526935,31.892,71.831,0.433459,72.275,181.196,2.21369,184.118,432.003,431.532,2.80568,436.032,5,5,5
2,barabasi_albert,250000,2,5,42,1,20,0,0.1,1,3,61.6814,195.808,378.933,0.162801,0.516703,0.315165,YES,YES,YES,250000,194.336,352.828,3.99998,8.03219,0.391232,1579.4,1,1,1,6.92921,10,0.000377189,50.5077,28.5825,14.3056,325.433,999995,1.99999e+06,3.99998,2,22.7486,330536,330536,80536,999994,330535,250000,250000,80536,999994,330535,1687.8,3,282.8,0.200943,1.21382,1686.8,149.686,329281,263317,1686.8,1,1,61.68,0.55896,62.432,194.628,5.04863,204.606,378.13,4.34502,384.157,704.366,705.323,4.26087,708.281,5,5,5
2,barabasi_albert,250000,4,5,42,1,20,0,0.1,1,3,90.2296,219.837,579.214,0.155779,0.379565,0.410452,YES,YES,YES,250000,110.127,210.427,7.99992,13.7573,0.367615,1764.4,1,1,1,4.77072,7,0.000467947,50.5028,28.5741,21.4678,842.898,1.99998e+06,3.99996e+06,7.99992,2,39.2634,456527,456527,206527,1.99998e+06,456526,250000,250000,206527,1.99998e+06,456526,819.8,3,225.6,0.105504,1.14718,818.8,307.191,448393,260253,818.8,1,1,90.307,1.1284,91.469,218.6,2.20479,222.802,580.256,4.51676,584.182,1422.11,1424.52,6.81598,1428.25,5,5,5
2,barabasi_albert,500000,2,5,42,1,20,0,0.1,1,3,139.634,461.413,1033.74,0.135101,0.4465,0.302627,YES,YES,YES,500000,224.888,395.651,3.99999,8.00742,0.391141,1730,1,1,1,6.89813,10.8,0.000184019,50.504,28.5745,29.0716,790.273,2e+06,3.99999e+06,3.99999,2,27.1837,660616,660616,160616,1.99999e+06,660615,500000,500000,160616,1.99999e+06,660615,3012.8,3,431,0.0303354,1.04095,3011.8,170.24,659267,553817,3011.8,1,1,139.217,2.10213,142.549,461.422,5.84814,467.184,1034.34,22.6489,1069.25,1824.01,1820.24,24.3134,1861.79,5,5,5
